question,answer,additionalInfo
"Quel nom donne-t-on au cuir fabriqué à partir de la peau de raie ou de requin, reconnaissable à sa texture granuleuse ?", "Le galuchat", "Utilisé en maroquinerie, ébénisterie ou joaillerie, il est prisé pour sa résistance et son aspect luxueux."
"Le galuchat est un cuir fabriqué à partir de la peau de quels animaux ?", "De la peau de raie ou de requin", "Reconnaissable à sa texture granuleuse et ses petits nodules brillants. Utilisé en maroquinerie, ébénisterie ou joaillerie, il est prisé pour sa résistance et son aspect luxueux."
"Poisson qui nage à la verticale (à l’inverse de Keen’v qui, je vous le rappel, danse à l’horizontale) C’est un symbole de fidélité puisqu’ils forment souvent des couple monogame. Les mâles sont garant de la gestation. Leur tête ressemblant à un cheval, on les appelles aussi les cheveaux de mers", "Hippocampe", ""
"Quels animaux sont hermaphrodites simultanés les plus connus (possèdent à la fois des organes mâles et femelles) ?", "Cochenilles, certaines coquilles Saint-Jacques, l'escargot et le lombric.", "L'hermaphrodisme séquentiel désigne un changement de sexe au cours de leur vie, comme pour les huîtres et les poissons-clown."
"Quels animaux sont des exemples d'hermaphrodites séquentiels les plus connus (changent de sexe au cours de leur vie) ?", "Huîtres et poissons-clown.", "L'hermaphrodisme simultané désigne le fait de posséder à la fois des organes mâles et femelles, comme pour les cochenilles, certains escargots et les lombrics."
"En quelle année-a-t-on réussi à traverser l’Atlantique en avion en solitaire sans escale ?", "1927 (par Charles Lindbergh)", "La première traversée de l'Atlantique en avion en solitaire sans escale a été réalisée par Charles Lindbergh en 1927."
"Qui est Charles Lindbergh ?", "C'est la personne qui a réussi à traverser l’Atlantique en avion en solitaire sans escale en 1927.", "C'était la première fois que cela se produisait."
"1ère femme à avoir traversé l’Atlantique en avion en 1928 et en solitaire en 1932", "Amelia Earhart", "La première tentative de traversée de l'Atlantique d'une femme a lieu le 31 août 1927, date à laquelle la princesse Löwenstein va prendre place comme passagère à bord du monoplan Fokker, baptisé « Saint-Raphaël », à moteur Bristol de 500 chevaux piloté par le lieutenant-colonel Minchin et le capitaine Hamilton pour rejoindre l'Amérique au départ de Wiltshire. Dès le soir, ils seront malheureusement portés disparus."
"Qui est Amelia Earhart ?", "C'est la 1ère femme à avoir traversé l’Atlantique en avion en 1928 et en solitaire en 1932", ""
"Qui est la femme qui a traversé l’Atlantique en solitaire en 1932 ?", "Amelia Earhart", "Elle a été la 1ère femme à le traverser en 1928, en compagnie d'autres personnes."
"À quelle catégorie de végétaux appartiennent les amanites ?", "Les champignons", "Un exemple est l'Amanite des césars."
"Découverte de l’Amérique", "1492", ""
"Que s'est-il passé en 1492 ?", "La découverte de l'Amérique", ""
"Qui a découvert l’Amérique en 1492 ?", "Christophe Colomb", ""
"Capitale du Maroc ?", "Rabat", ""
"De quel pays Rabat est-elle la capitale ?", "Le Maroc", ""
"Capitale de l'Algérie ?", "Alger", ""
"De quel pays Alger est-elle la capitale ?", "L'Algérie", ""
"Capitale de la Tunisie ?", "Tunis", ""
"De quel pays Tunis est-elle la capitale ?", "La Tunisie", ""
"À quelle région appartient le mont Saint-Michel ?", "Normandie", "Son code postal est 50170 donc 50 donc le département de la Manche en Normandie"
"Depuis 1985, quel est l’hymne officiel de l’Union européenne ?", "L'Ode à la joie (9e symphonie) de Beethoven", ""
"Quel pays a pour monnaie le shekel ?", "Israël", "À noter qu’il est aussi en circulation en Palestine."
"Quelle est la monnaie d'Israël ?", "Le shekel", "Il est aussi en circulation en Palestine."
"Quelle célèbre affaire judiciaire française, qui a débuté en 1923 avec la disparition de Pierre Quémeneur, est devenue un symbole d'erreur judiciaire ?", "L'affaire Seznec", "Guillaume Seznec, le suspect, a toujours clamé son innocence, mais fut condamné au bagne. L'affaire n'a jamais été réhabilitée, mais son nom est devenu synonyme d'injustice."
"Quel texte bouddhiste tibétain, également connu sous le nom de 'Livre des morts tibétain', décrit les étapes de l'état intermédiaire entre la mort et la renaissance ?", "Le Bardo Thödol", "Le Bardo désigne l'état intermédiaire. 'Thödol' signifie 'libération par l'écoute'. Le livre est destiné à être lu au mourant pour guider sa conscience dans le Bardo."
"Quel est l'autre nom du 'Bardo Thödol' ?", "Le 'Livre des morts tibétain'", "Le livre est destiné à être lu au mourant pour guider sa conscience dans le Bardo."
"Que signifie 'Bardo' et 'Thödol' dans le 'Bardo Thödol' ?", "'Bardo' désigne l'état intermédiaire, et 'Thödol' signifie 'libération par l'écoute'.", "Ce texte bouddhiste tibétain, aussi appelé 'Livre des morts tibétain', est lu au mourant pour guider sa conscience."
"Sous quel terme historique désigne-t-on une longue période de paix relative et de prospérité que connut l'Empire romain, s'étendant d'Auguste à Marc Aurèle ?", "La Pax Romana", "Cette période de 'paix romaine' est caractérisée par la stabilité du pouvoir central, l'unification politique et économique et un développement important des infrastructures."
"Qu'est-ce que la 'Pax Romana' ?", "Une longue période de paix relative et de prospérité que connut l'Empire romain, d'Auguste à Marc Aurèle.", "Elle est caractérisée par la stabilité du pouvoir central, l'unification politique et économique et un développement important des infrastructures."
